"","sub.forest.sizes","sub.forest.accuracies"
"1",3,0.558480506497834
"2",5,0.565644785071643
"3",7,0.569476841052982
"4",9,0.57130956347884
"5",11,0.571809396867711
"6",13,0.573475508163945
"7",15,0.574808397200933
"8",17,0.573142285904698
"9",19,0.571142952349217
"10",21,0.571476174608464
"11",23,0.573475508163945
"12",25,0.571976007997334
"13",27,0.573308897034322
"14",29,0.573642119293569
"15",31,0.575808063978674
"16",33,0.576641119626791
"17",35,0.575808063978674
"18",37,0.577807397534155
"19",39,0.576807730756415
"20",41,0.577307564145285
"21",43,0.579306897700766
"22",45,0.57897367544152
"23",47,0.576641119626791
"24",49,0.578473842052649
"25",51,0.579306897700766
"26",53,0.581639453515495
"27",55,0.580473175608131
"28",57,0.582139286904365
"29",59,0.580473175608131
"30",61,0.580639786737754
"31",63,0.581139620126624
"32",65,0.581139620126624
"33",67,0.580473175608131
"34",69,0.581639453515495
"35",71,0.581806064645118
"36",73,0.581139620126624
"37",75,0.581972675774742
"38",77,0.581139620126624
"39",79,0.582639120293236
"40",81,0.582139286904365
"41",83,0.580639786737754
"42",85,0.580473175608131
"43",87,0.580473175608131
"44",89,0.580139953348884
"45",91,0.580639786737754
"46",93,0.580139953348884
"47",95,0.580973008997001
"48",97,0.580139953348884
"49",99,0.57947350883039
"50",101,0.57997334221926
